Id,age,number_dependent_family_members,monthly_income,number_of_credit_lines,real_estate_loans,ratio_debt_payment_to_income,credit_line_utilization,number_of_previous_late_payments_up_to_59_days,number_of_previous_late_payments_up_to_89_days,number_of_previous_late_payments_90_days_or_more,defaulted_on_loan
1,66.0,,4000.0,,1.0,0.569107723,0.05488766900000001,0.0,0.0,0.0,0
2,61.0,2.0,4000.0,6.0,1.0,0.29717570600000004,0.10194991099999999,0.0,0.0,0.0,0
3,31.0,2.0,3040.0,8.0,0.0,0.160144689,1.22713507,4.0,0.0,0.0,1
4,54.0,4.0,10218.0,5.0,0.0,0.067912712,0.08327777900000001,0.0,0.0,0.0,0
5,29.0,0.0,4468.0,6.0,0.0,0.328261356,0.317445504,0.0,0.0,0.0,0
6,39.0,2.0,4166.0,17.0,1.0,,,1.0,0.0,0.0,0
7,30.0,2.0,4585.0,1.0,0.0,0.087003925,0.9999998999999999,1.0,,4.0,0
8,,0.0,2916.0,5.0,0.0,0.124100103,0.06742675599999999,0.0,0.0,0.0,0
9,51.0,2.0,3836.0,9.0,0.0,0.208496221,,0.0,0.0,0.0,0
10,60.0,0.0,2900.0,5.0,1.0,,,0.0,0.0,0.0,0
11,31.0,1.0,1300.0,5.0,0.0,0.089162183,0.73405073,1.0,0.0,0.0,0
12,69.0,0.0,6916.0,3.0,1.0,0.10597079699999999,0.016046138,,0.0,0.0,0
13,68.0,0.0,2262.0,5.0,0.0,0.001325674,0.0,0.0,0.0,0.0,0
14,53.0,2.0,,2.0,0.0,0.365244137,0.9999998999999999,0.0,0.0,0.0,0
15,,2.0,7854.0,2.0,0.0,0.077657543,0.610115824,0.0,0.0,0.0,0
16,46.0,0.0,,11.0,,0.103718665,0.441138682,0.0,0.0,0.0,0
17,35.0,2.0,8416.0,10.0,,0.650231674,0.717905462,0.0,,0.0,0
18,53.0,4.0,2000.0,5.0,1.0,1.11894053,0.177491628,0.0,0.0,0.0,0
19,,2.0,2962.0,6.0,0.0,0.371582855,0.9135201909999999,0.0,0.0,0.0,0
20,43.0,1.0,3500.0,15.0,2.0,0.629820051,0.0,0.0,,0.0,0
21,48.0,1.0,10800.0,11.0,3.0,0.590315712,0.9757674740000001,3.0,0.0,0.0,1
22,74.0,1.0,4000.0,23.0,2.0,0.686578355,0.20722288600000002,0.0,0.0,0.0,0
23,42.0,3.0,0.0,0.0,0.0,,0.9999998999999999,1.0,,0.0,0
24,,0.0,,10.0,1.0,0.265243716,0.220293638,0.0,0.0,0.0,0
25,53.0,2.0,12360.0,10.0,3.0,0.438880349,0.558127477,0.0,,,0
26,58.0,1.0,5000.0,10.0,2.0,0.486702659,0.042021772,0.0,0.0,0.0,0
27,35.0,1.0,2916.0,4.0,0.0,0.176894069,0.23595280899999999,1.0,0.0,1.0,0
28,22.0,0.0,,3.0,0.0,0.079212916,"1,089820359",0.0,0.0,0.0,0
29,53.0,0.0,10500.0,14.0,,0.438815351,0.691202034,0.0,,0.0,0
30,43.0,2.0,3168.0,6.0,,0.475228779,0.29869287699999997,0.0,0.0,1.0,0
31,,4.0,6448.0,11.0,0.0,0.190106993,0.865913409,3.0,1.0,0.0,1
32,73.0,0.0,10000.0,17.0,3.0,0.36846315399999996,0.76055263,2.0,0.0,0.0,0
33,42.0,0.0,5400.0,11.0,1.0,0.19792631,0.000468735,0.0,0.0,0.0,0
34,41.0,3.0,,2.0,1.0,0.127274909,0.0,1.0,0.0,,0
35,51.0,0.0,1916.0,7.0,1.0,1.089201878,0.024524493999999997,0.0,0.0,0.0,0
36,55.0,2.0,6750.0,8.0,1.0,0.6461265,0.279082974,0.0,,0.0,0
37,62.0,0.0,3700.0,1.0,,0.135098622,0.9999998999999999,1.0,0.0,0.0,0
38,61.0,0.0,4166.0,15.0,2.0,0.348932085,"0,038696083",1.0,0.0,,0
39,42.0,0.0,9500.0,11.0,1.0,0.242395537,0.082962138,0.0,0.0,0.0,0
40,54.0,,7099.0,4.0,0.0,0.067887324,0.569886023,0.0,0.0,0.0,0
41,50.0,2.0,6000.0,14.0,0.0,0.14414264300000001,0.9320216109999999,,0.0,,0
42,48.0,1.0,6400.0,11.0,1.0,0.19090767100000003,0.087714708,0.0,0.0,0.0,0
43,43.0,1.0,5441.0,9.0,2.0,0.411429621,0.587456778,1.0,0.0,0.0,0
44,63.0,0.0,9166.0,13.0,3.0,0.22515544899999998,,0.0,0.0,,0
45,45.0,0.0,4938.0,1.0,0.0,0.068839846,0.9999998999999999,0.0,1.0,2.0,1
46,34.0,0.0,2080.0,2.0,0.0,0.225852955,0.9999998999999999,0.0,0.0,0.0,0
47,58.0,,11792.0,9.0,2.0,0.61121004,0.7800070290000001,0.0,0.0,0.0,0
48,51.0,0.0,5000.0,1.0,0.0,0.044991002,0.9999998999999999,1.0,0.0,1.0,0
